Iteration,Alpha
0,"0.5013255299719273,0.4986744700280728"
1,"0.5013378562991478,0.4986621437008521"
2,"0.5015635554027587,0.4984364445972414"
3,"0.5017586599953532,0.4982413400046467"
4,"0.5018455899410273,0.49815441005897276"
5,"0.5016898409319088,0.4983101590680912"
6,"0.5017781899179437,0.49822181008205635"
7,"0.501327711704479,0.49867228829552107"
8,"0.5009123670051644,0.49908763299483566"
9,"0.5015420665445411,0.4984579334554588"
10,"0.5019792452246398,0.4980207547753603"
11,"0.5011132174790855,0.4988867825209145"
12,"0.5008964392842247,0.4991035607157754"
13,"0.500399828687286,0.4996001713127139"
14,"0.4987515376414435,0.5012484623585566"
15,"0.4994509347746373,0.5005490652253627"
16,"0.5005437191676175,0.49945628083238247"
17,"0.5000499200296777,0.4999500799703222"
18,"0.49922683938046103,0.5007731606195389"
19,"0.4987481971256833,0.5012518028743167"
20,"0.49813935029819245,0.5018606497018075"
21,"0.49768345002608255,0.5023165499739175"
22,"0.49731859678584256,0.5026814032141573"
23,"0.49775751822783837,0.5022424817721616"
24,"0.49860908593611425,0.5013909140638858"
25,"0.49952262328213426,0.5004773767178657"
26,"0.5008670105481301,0.49913298945187"
27,"0.501699772125547,0.49830022787445305"
28,"0.5020954571951234,0.49790454280487656"
29,"0.503463246367172,0.496536753632828"
30,"0.5029916241627946,0.4970083758372054"
31,"0.5025180206927792,0.49748197930722077"
32,"0.5037672593187688,0.49623274068123124"
33,"0.5053797973349344,0.49462020266506557"
34,"0.5066484685575193,0.4933515314424807"
35,"0.5061777813811872,0.4938222186188128"
36,"0.5071576004106482,0.4928423995893518"
37,"0.5068839975740855,0.49311600242591447"
38,"0.5059655583122168,0.49403444168778315"
39,"0.5054795913853836,0.49452040861461644"
40,"0.5059669166376858,0.49403308336231416"
41,"0.5061860948661645,0.4938139051338355"
42,"0.5076537437198255,0.49234625628017453"
43,"0.5079864375417552,0.4920135624582448"
44,"0.5083693666012654,0.49163063339873464"
45,"0.5095282062595287,0.49047179374047134"
46,"0.5108457033070551,0.48915429669294475"
47,"0.5104261480961566,0.48957385190384334"
48,"0.509777019558566,0.49022298044143403"
49,"0.5106065085466636,0.48939349145333644"
50,"0.5112767554622387,0.48872324453776134"
51,"0.5112403173365687,0.4887596826634313"
52,"0.5119471873808221,0.48805281261917793"
53,"0.5116902495346353,0.48830975046536473"
54,"0.5119065273939839,0.48809347260601615"
55,"0.5119020160432843,0.4880979839567158"
56,"0.5123175789962082,0.4876824210037918"
57,"0.511346032125994,0.4886539678740059"
58,"0.5113971463368647,0.4886028536631353"
59,"0.5123660081118495,0.4876339918881505"
60,"0.5132517658353943,0.4867482341646056"
61,"0.5138091102221483,0.4861908897778517"
62,"0.5150740359996154,0.48492596400038457"
63,"0.5146810769611394,0.48531892303886054"
64,"0.5149734782656726,0.48502652173432736"
65,"0.5161848222965818,0.48381517770341814"
66,"0.5165529274106601,0.48344707258933994"
67,"0.5162714141135404,0.4837285858864595"
68,"0.5176541413082666,0.4823458586917334"
69,"0.5182138920625458,0.48178610793745413"
70,"0.5184557169560781,0.48154428304392194"
71,"0.5186436510747418,0.4813563489252583"
72,"0.5187125784744201,0.4812874215255798"
73,"0.518559083783894,0.48144091621610585"
74,"0.5186289777733026,0.4813710222266974"
75,"0.5198033447056493,0.48019665529435074"
76,"0.5201228841532899,0.47987711584671017"
77,"0.5211688814857479,0.47883111851425203"
78,"0.5213985317760325,0.4786014682239675"
79,"0.521347311563335,0.47865268843666503"
80,"0.5202608524261275,0.4797391475738725"
81,"0.5207987555992846,0.4792012444007155"
82,"0.5202907929423363,0.47970920705766373"
83,"0.5197801320077554,0.48021986799224464"
84,"0.520941593264365,0.479058406735635"
85,"0.521987404978608,0.4780125950213921"
86,"0.5232210018479438,0.47677899815205627"
87,"0.5245744827488708,0.47542551725112925"
88,"0.5245498217451336,0.4754501782548664"
89,"0.5244464321612099,0.47555356783879005"
90,"0.523760410195518,0.4762395898044821"
91,"0.5234442431729643,0.4765557568270357"
92,"0.5237540861112667,0.4762459138887333"
93,"0.524244263930524,0.47575573606947597"
94,"0.524221978766768,0.47577802123323193"
95,"0.5241405135268705,0.4758594864731295"
96,"0.523825148634824,0.47617485136517596"
97,"0.52431068787595,0.47568931212404997"
98,"0.523750538074596,0.4762494619254039"
99,"0.5238861894730483,0.4761138105269517"
