Iteration,Alpha
0,"0.16698797843560054,0.16697674866502477,0.1668447913609125,0.16660382628382903,0.16634744152176972,0.16623921373286343"
1,"0.1675379994471027,0.16722554649417987,0.167139585922084,0.16630501255658187,0.16596290062701022,0.16582895495304134"
2,"0.16798859095624338,0.16724019583721214,0.1669921510358112,0.1661891971860652,0.16589758533192958,0.16569227965273842"
3,"0.16872026112891944,0.16713745426879065,0.1668517898907661,0.1661437164885895,0.1657196527972852,0.16542712542564916"
4,"0.16898778626937366,0.16687242423147444,0.1671720617607559,0.16588108706251153,0.16538261666832918,0.16570402400755535"
5,"0.1692572022376346,0.16741066833837978,0.16708625109258102,0.16566060738607527,0.16512406065562268,0.16546121028970662"
6,"0.16932133074041722,0.1670716670334232,0.16728708667220912,0.16573037902091353,0.16529101500662638,0.16529852152641045"
7,"0.16974027233743083,0.16752017908180045,0.16742438477110808,0.16545245792656688,0.1649840742038695,0.16487863167922423"
8,"0.17004122527380366,0.1679692330340214,0.1672792975970992,0.16535219857645705,0.16473930140150225,0.16461874411711652"
9,"0.17055041255821884,0.16826289366377764,0.16715031290061938,0.16517858386927486,0.16450376974596845,0.1643540272621408"
10,"0.17075580091331252,0.1689889367628822,0.1670681917797069,0.16493449457783285,0.16423579493926402,0.16401678102700146"
11,"0.1710661547689467,0.16946480939030015,0.16734017451259248,0.16472976470635184,0.1638273682913966,0.16357172833041228"
12,"0.17188765792744212,0.16992714633573477,0.1671451908382445,0.16438056617903757,0.1634704715455306,0.1631889671740104"
13,"0.17275075923792726,0.17051247780884543,0.16686943129091306,0.16397749950298465,0.16311161322127316,0.16277821893805638"
14,"0.1732224355880397,0.1711094484155369,0.16664053930317607,0.1636897195933547,0.16282681288274203,0.1625110442171505"
15,"0.17379958014976699,0.17140924608496355,0.16646552387524471,0.16345158253212358,0.16259469782675287,0.16227936953114827"
16,"0.1740711837651104,0.17188266934034535,0.16626729774842217,0.1631598936407133,0.16246962022824032,0.16214933527716846"
