Trout-Smoked	14.99
Pepper-White.Whole	125.21
Soup-CreamOfBroccoli	38.72
Syrup-Monin.SwissChoclate	8.95
Beans-BlackBean.Canned	37.64
AssortedDesserts	25.00
Muffin-Mix-MangoSourCherry	34.73
PorkCasing	20.00
Beer-UpperCanadaLager	32.90
Mushroom-Enoki.Dry	2.75
Chicken-WhiteMeatWithTender	11.02
Soup-ClamChowder.DryMix	50.98
Tomatoes-Heirloom	11.92
Cloves-Ground	5.81
Puree-Mango	13.60
Sauce-BlackCurrent.DryMix	21.58
AlizeSunset	23.95
LidCoffeeCup8ozBlk	44.64
Fish-SoupBase.Bouillon	19.49
Puree-Blackcurrant	11.45
Nantucket-KiwiBerryCktl.	27.01
Ham-BlackForest	30.58
Capicola-Hot	12.48
Oil-Macadamia	59.96
Bagel-EverythingPresliced	15.26
Broccoli-Fresh	23.40
Water-AquafinaVitamin	10.48
CarbonatedWater-Cherry	25.58
Ecolab-SolidFusion	145.17
Crawfish	1.99
LotusLeaves	9.36
Apples-Spartan	2.72
Cumin-Whole	11.17
Cream-10	2.50
Macaroons-TwoBiteChoc	31.74
IceCream-Vanilla	4.57
Container-Clear16Oz	30.00
CupTranslucent9Oz	43.46
Oil-Olive.ExtraVirgin	50.28
Beans-Fine	8.80
Potatoes-Purple.Organic	2.70
Duck-Fat	4.09
Salt-Rock.Course	3.36
Milk-Chocolate250Ml	0.55
EggPattyFried	41.79
Shrimp.Dried.SmallLb	32.68
SweetPeaSprouts	21.00
Pastry-ChoclateBaked	0.51
Cake-CakeSheetMacaroon	44.45
SugarThermometer	42.18
C-Plus.Orange	9.37
Vodka-Lemon.Absolut	20.95
TahiniPaste	2.71
Noodles-Egg	14.13
Milkettes-2	4.10
Milk-Buttermilk	6.25
CapeCapensis-Fillet	4.55
Oil-Peanut	63.20
Chives-Fresh	1.25
Sauce-Mint	23.32
Oil-Canola	31.56
Melon-HoneyDew	4.50
Compound-Pear	39.99
Tuna-Loin	24.40
Compound-Orange	13.25
Wine-White.AntinoreOrvieto	9.95
Rice-LongGrain	40.62
IslandOasis-Raspberry	7.31
Apron	2.82
Onions-Pearl	3.08
GaramMarsala	17.48
Beans-Long.Chinese	4.00
RedSnapper-Fillet.SkinOn	17.22
Fish-Bones	1.50
Tomatillo	29.00
Sugar-Brown	7.00
Tarragon-Fresh	1.50
Napkin-Dinner.White	54.84
Wine-SawmillCreekAutumn	6.09
Banana-Green	1.74
Bread-DarkRye.Loaf	2.86
